Ethnicity,Total,Male,Female,Municipality
Total,77735,37153,40582,Aerodrom
Macedonians,66245,31305,34940,Aerodrom
Albanians,851,406,445,Aerodrom
Turks,464,238,226,Aerodrom
Roma,459,238,221,Aerodrom
Vlachs,652,321,331,Aerodrom
Serbs,2155,1110,1045,Aerodrom
Bosniaks,403,198,205,Aerodrom
Other,1157,593,564,Aerodrom
Undeclared,62,31,31,Aerodrom
Unknown,39,18,21,Aerodrom
Admin,5248,2695,2553,Aerodrom
Total,37968,18738,19230,Butel
Macedonians,17011,8267,8744,Butel
Albanians,14095,6989,7106,Butel
Turks,1314,672,642,Butel
Roma,501,269,232,Butel
Vlachs,73,31,42,Butel
Serbs,606,318,288,Butel
Bosniaks,1133,557,576,Butel
Other,565,303,262,Butel
Undeclared,8,6,2,Butel
Unknown,9,5,4,Butel
Admin,2653,1321,1332,Butel
Total,69626,34465,35161,Gazi Baba
Macedonians,45242,22058,23184,Gazi Baba
Albanians,14146,7218,6928,Gazi Baba
Turks,468,231,237,Gazi Baba
Roma,1922,986,936,Gazi Baba
Vlachs,185,89,96,Gazi Baba
Serbs,1328,712,616,Gazi Baba
Bosniaks,753,366,387,Gazi Baba
Other,554,269,285,Gazi Baba
Undeclared,16,8,8,Gazi Baba
Unknown,10,6,4,Gazi Baba
Admin,5002,2522,2480,Gazi Baba
Total,44844,22005,22839,Gjorche Petrov
Macedonians,35971,17445,18526,Gjorche Petrov
Albanians,1765,867,898,Gjorche Petrov
Turks,272,139,133,Gjorche Petrov
Roma,1068,549,519,Gjorche Petrov
Vlachs,156,70,86,Gjorche Petrov
Serbs,1266,697,569,Gjorche Petrov
Bosniaks,459,220,239,Gjorche Petrov
Other,531,280,251,Gjorche Petrov
Undeclared,27,11,16,Gjorche Petrov
Unknown,18,11,7,Gjorche Petrov
Admin,3311,1716,1595,Gjorche Petrov
Total,63760,30127,33633,Karposh
Macedonians,51609,24121,27488,Karposh
Albanians,2324,1182,1142,Karposh
Turks,443,215,228,Karposh
Roma,600,300,300,Karposh
Vlachs,483,232,251,Karposh
Serbs,1635,806,829,Karposh
Bosniaks,192,86,106,Karposh
Other,992,519,473,Karposh
Undeclared,75,45,30,Karposh
Unknown,59,39,20,Karposh
Admin,5348,2582,2766,Karposh
Total,61965,29961,32004,Kisela Voda
Macedonians,52030,25006,27024,Kisela Voda
Albanians,418,202,216,Kisela Voda
Turks,732,388,344,Kisela Voda
Roma,467,223,244,Kisela Voda
Vlachs,636,327,309,Kisela Voda
Serbs,953,469,484,Kisela Voda
Bosniaks,581,285,296,Kisela Voda
Other,653,333,320,Kisela Voda
Undeclared,15,8,7,Kisela Voda
Unknown,41,26,15,Kisela Voda
Admin,5439,2694,2745,Kisela Voda
Total,38399,19419,18980,Saraj
Macedonians,1005,492,513,Saraj
Albanians,34586,17544,17042,Saraj
Turks,28,9,19,Saraj
Roma,255,136,119,Saraj
Vlachs,4,3,1,Saraj
Serbs,10,3,7,Saraj
Bosniaks,1043,517,526,Saraj
Other,16,7,9,Saraj
Undeclared,0,0,0,Saraj
Unknown,2,0,2,Saraj
Admin,1450,708,742,Saraj
Total,43893,20389,23504,Centar
Macedonians,33731,15475,18256,Centar
Albanians,1100,575,525,Centar
Turks,548,280,268,Centar
Roma,622,273,349,Centar
Vlachs,552,246,306,Centar
Serbs,1301,632,669,Centar
Bosniaks,171,77,94,Centar
Other,765,398,367,Centar
Undeclared,51,22,29,Centar
Unknown,39,21,18,Centar
Admin,5013,2390,2623,Centar
Total,62586,31032,31554,Chair
Macedonians,5357,2472,2885,Chair
Albanians,42180,21037,21143,Chair
Turks,4182,2111,2071,Chair
Roma,1337,684,653,Chair
Vlachs,37,19,18,Chair
Serbs,202,98,104,Chair
Bosniaks,2531,1196,1335,Chair
Other,500,237,263,Chair
Undeclared,1,1,0,Chair
