Municipality,Total resident population,Households,Dwellings,Year
Aerodrom,72009,21495,23754,2002
Arachinovo,11597,2267,2442,2002
Berovo,13941,4715,6742,2002
Bitola,95385,28942,37225,2002
Bogdanci,8707,2597,3006,2002
Bogovinje,28997,7299,7341,2002
Bosilovo,14260,3661,4036,2002
Brvenica,15855,3447,3776,2002
Butel,36154,10056,11077,2002
Chair,64773,17107,17127,2002
Chashka,7673,2185,3839,2002
Centar,45412,15355,18848,2002
Centar Zhupa,6519,1444,1583,2002
Cheshinovo - Obleshevo,7490,2423,2960,2002
Chucher - Sandevo,8493,2321,3925,2002
Debar,19542,3917,4606,2002
Debarca,5507,1995,4355,2002
Delchevo,17505,5568,7163,2002
Demir Hisar,9497,2987,4327,2002
Demir Kapija,4545,1387,1789,2002
Dolneni,13568,3745,4700,2002
Drugovo,3249,1152,2429,2002
Gazi Baba,72617,20336,22815,2002
Gevgelija,22988,7221,9292,2002
Gjorche Petrov,41634,11886,13938,2002
Gostivar,81042,18091,20339,2002
Gradsko,3760,1137,1436,2002
Ilinden,15894,4298,5252,2002
Jegunovce,10790,2645,3029,2002
Karbinci,4012,1212,1468,2002
Karposh,59666,19680,22849,2002
Kavadarci,38741,12026,16324,2002
Kichevo,30138,8330,10226,2002
Kisela Voda,57236,17577,20237,2002
Kochani,38092,11981,14464,2002
Konche,3536,1057,1175,2002
Kratovo,10441,3304,4951,2002
Kriva Palanka,20820,6600,9448,2002
Krivogashtani,6150,1943,2191,2002
Krushevo,9684,2706,3519,2002
Kumanovo,105484,27984,33468,2002
Lake Ohrid,,,,2002
Lipkovo,27058,5340,5790,2002
Lozovo,2858,899,1073,2002
Makedonska Kamenica,8110,2437,2971,2002
Makedonski Brod,7141,2392,4721,2002
Mavrovo and Rostusha,8618,1969,4842,2002
Mogila,6710,1851,2385,2002
Negotino,19212,5898,7369,2002
Novaci,3549,1125,1723,2002
Novo Selo,11567,3131,4158,2002
Ohrid,55749,16012,28437,2002
Oslomej,10420,2791,3291,2002
Pehchevo,5517,2026,2877,2002
Petrovec,8255,2087,3617,2002
Plasnica,4545,1125,1225,2002
Prilep,76768,24398,29673,2002
Probishtip,16193,5104,7337,2002
Radovish,28244,8270,9833,2002
Rankovce,4144,1371,2233,2002
Resen,16825,4849,8233,2002
Rosoman,4141,1284,1663,2002
Saraj,35408,7972,7837,2002
Sopishte,5656,1510,3398,2002
Star Dojran,3426,1021,2116,2002
Staro Nagorichane,4840,1697,3598,2002
Shtip,47796,15065,18270,2002
Struga,63376,14485,18834,2002
Strumica,54676,15896,18473,2002
Studenichani,17246,3570,4349,2002
Shuto Orizari,22017,5102,5263,2002
Sveti Nikole,18497,5698,7157,2002
Tearce,22454,5095,5480,2002
Tetovo,86580,20094,22592,2002
Valandovo,11890,3545,4050,2002
Vasilevo,12122,3306,3360,2002
Veles,55108,16959,20717,2002
Vevchani,2433,593,715,2002
Vinica,19938,6260,6655,2002
Vraneshtica,1322,478,1015,2002
Vrapchishte,25399,5225,5820,2002
Zajas,11605,2942,3190,2002
Zelenikovo,4077,1014,1666,2002
Zhelino,24390,5226,5325,2002
Zrnovci,3264,1105,1341,2002
