Municipality,Women,Men,Ethnicity,Year
Berovo ,1670,2229,Macedonian,2004
Bitola,8846,9326,Macedonian,2004
Valandovo,1058,1604,Macedonian,2004
Veles,6605,6857,Macedonian,2004
Vinica,1520,1994,Macedonian,2004
Gevgelija,2049,3104,Macedonian,2004
Gostivar,1804,2100,Macedonian,2004
Debar,55,63,Macedonian,2004
Delchevo,2000,3391,Macedonian,2004
Demir Hisar,885,1101,Macedonian,2004
Kavadarci,4117,5460,Macedonian,2004
Kichevo,1759,1979,Macedonian,2004
Kochani,4456,7150,Macedonian,2004
Kratovo,1285,1374,Macedonian,2004
Kriva Palanka,3189,3771,Macedonian,2004
Krushevo,815,1002,Macedonian,2004
Kumanovo,8939,9346,Macedonian,2004
Makedonski Brod,810,971,Macedonian,2004
Negotino,2023,2822,Macedonian,2004
Ohrid,4691,5108,Macedonian,2004
Prilep,10254,11971,Macedonian,2004
Probishtip,1911,2624,Macedonian,2004
Radovish,2241,4087,Macedonian,2004
Resen,902,1253,Macedonian,2004
Sveti Nikole,2133,3075,Macedonian,2004
Skopje,28758,26666,Macedonian,2004
Struga,1844,2422,Macedonian,2004
Strumica,9904,11267,Macedonian,2004
Tetovo,1827,2602,Macedonian,2004
Shtip,3066,5187,Macedonian,2004
Berovo ,0,0,Albanian,2004
Bitola,542,654,Albanian,2004
Valandovo,1,2,Albanian,2004
Veles,562,561,Albanian,2004
Vinica,0,0,Albanian,2004
Gevgelija,2,5,Albanian,2004
Gostivar,2602,6992,Albanian,2004
Debar,844,1085,Albanian,2004
Delchevo,0,0,Albanian,2004
Demir Hisar,17,31,Albanian,2004
Kavadarci,0,0,Albanian,2004
Kichevo,1069,2216,Albanian,2004
Kochani,0,1,Albanian,2004
Kratovo,0,0,Albanian,2004
Kriva Palanka,0,1,Albanian,2004
Krushevo,78,512,Albanian,2004
Kumanovo,4513,7242,Albanian,2004
Makedonski Brod,0,1,Albanian,2004
Negotino,1,1,Albanian,2004
Ohrid,293,313,Albanian,2004
Prilep,344,379,Albanian,2004
Probishtip,0,0,Albanian,2004
Radovish,0,1,Albanian,2004
Resen,99,163,Albanian,2004
Sveti Nikole,5,10,Albanian,2004
Skopje,6400,17622,Albanian,2004
Struga,1494,2310,Albanian,2004
Strumica,0,0,Albanian,2004
Tetovo,7764,15066,Albanian,2004
Shtip,1,3,Albanian,2004
Berovo ,49,76,Turkish,2004
Bitola,394,371,Turkish,2004
Valandovo,272,318,Turkish,2004
Veles,428,386,Turkish,2004
Vinica,22,24,Turkish,2004
Gevgelija,39,72,Turkish,2004
Gostivar,269,1174,Turkish,2004
Debar,203,788,Turkish,2004
Delchevo,11,12,Turkish,2004
Demir Hisar,4,5,Turkish,2004
Kavadarci,4,12,Turkish,2004
Kichevo,284,582,Turkish,2004
Kochani,8,16,Turkish,2004
Kratovo,1,0,Turkish,2004
Kriva Palanka,0,0,Turkish,2004
Krushevo,11,59,Turkish,2004
Kumanovo,25,69,Turkish,2004
Makedonski Brod,201,192,Turkish,2004
Negotino,40,46,Turkish,2004
Ohrid,192,262,Turkish,2004
Prilep,497,775,Turkish,2004
Probishtip,1,0,Turkish,2004
Radovish,241,1007,Turkish,2004
Resen,142,226,Turkish,2004
Sveti Nikole,28,42,Turkish,2004
Skopje,485,683,Turkish,2004
Struga,63,88,Turkish,2004
Strumica,1778,1778,Turkish,2004
Tetovo,92,191,Turkish,2004
Shtip,108,318,Turkish,2004
Berovo ,115,147,Roma,2004
Bitola,511,481,Roma,2004
Valandovo,2,1,Roma,2004
Veles,163,158,Roma,2004
Vinica,201,261,Roma,2004
Gevgelija,5,9,Roma,2004
Gostivar,226,478,Roma,2004
Debar,154,302,Roma,2004
Delchevo,65,130,Roma,2004
Demir Hisar,0,0,Roma,2004
Kavadarci,45,162,Roma,2004
Kichevo,180,412,Roma,2004
Kochani,282,466,Roma,2004
Kratovo,33,42,Roma,2004
Kriva Palanka,80,117,Roma,2004
Krushevo,7,10,Roma,2004
Kumanovo,668,882,Roma,2004
Makedonski Brod,0,0,Roma,2004
Negotino,37,41,Roma,2004
Ohrid,182,188,Roma,2004
Prilep,915,953,Roma,2004
Probishtip,0,1,Roma,2004
Radovish,1,4,Roma,2004
Resen,43,57,Roma,2004
Sveti Nikole,27,10,Roma,2004
Skopje,2358,3632,Roma,2004
Struga,37,47,Roma,2004
Strumica,4,3,Roma,2004
Tetovo,191,367,Roma,2004
Shtip,414,457,Roma,2004
Berovo ,3,2,Serbian,2004
Bitola,22,33,Serbian,2004
Valandovo,93,150,Serbian,2004
Veles,28,46,Serbian,2004
Vinica,1,0,Serbian,2004
Gevgelija,60,104,Serbian,2004
Gostivar,11,15,Serbian,2004
Debar,2,3,Serbian,2004
Delchevo,6,3,Serbian,2004
Demir Hisar,0,0,Serbian,2004
Kavadarci,16,45,Serbian,2004
Kichevo,4,11,Serbian,2004
Kochani,9,8,Serbian,2004
Kratovo,0,1,Serbian,2004
Kriva Palanka,4,6,Serbian,2004
Krushevo,2,6,Serbian,2004
Kumanovo,716,1135,Serbian,2004
Makedonski Brod,0,0,Serbian,2004
Negotino,11,30,Serbian,2004
Ohrid,21,23,Serbian,2004
Prilep,12,9,Serbian,2004
Probishtip,1,3,Serbian,2004
Radovish,5,15,Serbian,2004
Resen,3,14,Serbian,2004
Sveti Nikole,7,7,Serbian,2004
Skopje,412,482,Serbian,2004
Struga,1,7,Serbian,2004
Strumica,9,13,Serbian,2004
Tetovo,18,29,Serbian,2004
Shtip,5,17,Serbian,2004
Berovo ,0,0,Vlachs,2004
Bitola,7,14,Vlachs,2004
Valandovo,0,0,Vlachs,2004
Veles,1,3,Vlachs,2004
Vinica,1,4,Vlachs,2004
Gevgelija,0,0,Vlachs,2004
Gostivar,0,0,Vlachs,2004
Debar,0,0,Vlachs,2004
Delchevo,0,0,Vlachs,2004
Demir Hisar,0,0,Vlachs,2004
Kavadarci,0,0,Vlachs,2004
Kichevo,0,0,Vlachs,2004
Kochani,4,8,Vlachs,2004
Kratovo,0,0,Vlachs,2004
Kriva Palanka,0,0,Vlachs,2004
Krushevo,57,105,Vlachs,2004
Kumanovo,5,4,Vlachs,2004
Makedonski Brod,0,0,Vlachs,2004
Negotino,0,0,Vlachs,2004
Ohrid,1,1,Vlachs,2004
Prilep,0,0,Vlachs,2004
Probishtip,0,0,Vlachs,2004
Radovish,0,1,Vlachs,2004
Resen,1,0,Vlachs,2004
Sveti Nikole,7,5,Vlachs,2004
Skopje,7,11,Vlachs,2004
Struga,6,7,Vlachs,2004
Strumica,0,0,Vlachs,2004
Tetovo,0,0,Vlachs,2004
Shtip,71,172,Vlachs,2004
Berovo ,,,Bosniak,2004
Bitola,,,Bosniak,2004
Valandovo,,,Bosniak,2004
Veles,,,Bosniak,2004
Vinica,,,Bosniak,2004
Gevgelija,,,Bosniak,2004
Gostivar,,,Bosniak,2004
Debar,,,Bosniak,2004
Delchevo,,,Bosniak,2004
Demir Hisar,,,Bosniak,2004
Kavadarci,,,Bosniak,2004
Kichevo,,,Bosniak,2004
Kochani,,,Bosniak,2004
Kratovo,,,Bosniak,2004
Kriva Palanka,,,Bosniak,2004
Krushevo,,,Bosniak,2004
Kumanovo,,,Bosniak,2004
Makedonski Brod,,,Bosniak,2004
Negotino,,,Bosniak,2004
Ohrid,,,Bosniak,2004
Prilep,,,Bosniak,2004
Probishtip,,,Bosniak,2004
Radovish,,,Bosniak,2004
Resen,,,Bosniak,2004
Sveti Nikole,,,Bosniak,2004
Skopje,,,Bosniak,2004
Struga,,,Bosniak,2004
Strumica,,,Bosniak,2004
Tetovo,,,Bosniak,2004
Shtip,,,Bosniak,2004
Berovo ,10,13,Other,2004
Bitola,157,194,Other,2004
Valandovo,6,8,Other,2004
Veles,544,570,Other,2004
Vinica,6,7,Other,2004
Gevgelija,6,6,Other,2004
Gostivar,331,764,Other,2004
Debar,282,829,Other,2004
Delchevo,7,9,Other,2004
Demir Hisar,0,1,Other,2004
Kavadarci,9,29,Other,2004
Kichevo,41,145,Other,2004
Kochani,10,17,Other,2004
Kratovo,2,2,Other,2004
Kriva Palanka,12,8,Other,2004
Krushevo,62,134,Other,2004
Kumanovo,51,70,Other,2004
Makedonski Brod,9,11,Other,2004
Negotino,20,21,Other,2004
Ohrid,308,264,Other,2004
Prilep,386,329,Other,2004
Probishtip,6,6,Other,2004
Radovish,15,24,Other,2004
Resen,27,32,Other,2004
Sveti Nikole,5,8,Other,2004
Skopje,1162,1183,Other,2004
Struga,270,730,Other,2004
Strumica,34,39,Other,2004
Tetovo,45,88,Other,2004
Shtip,106,48,Other,2004
